"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 01 21:38:17 UTC 2024","Fri Nov 01 21:38:17 UTC 2024","107","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_checkboxes_password_options_default_setup","Default Checkbox Setup and Password Content"
"passed","Fri Nov 01 21:38:48 UTC 2024","Fri Nov 01 21:38:48 UTC 2024","98","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_slider_moving_left[31-1]","Slider Moving Left for Length"
"passed","Fri Nov 01 21:39:16 UTC 2024","Fri Nov 01 21:39:16 UTC 2024","241","test-suite.functional_tests","test_password_generator_negative_tests","","","","test_last_checkbox_remains_checked","Ensure at least one checkbox remains selected"
"passed","Fri Nov 01 21:38:55 UTC 2024","Fri Nov 01 21:38:55 UTC 2024","135","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_arrow_up[7-1]","Arrow Up for Setting Password Length"
"passed","Fri Nov 01 21:39:13 UTC 2024","Fri Nov 01 21:39:13 UTC 2024","152","test-suite.functional_tests","test_password_generator_negative_tests","","","","test_negative_invalid_length_input[33-32]","Invalid input tests for the length field"
"passed","Fri Nov 01 21:39:08 UTC 2024","Fri Nov 01 21:39:09 UTC 2024","139","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_generator_generate_password_button","Generate Password Button Test"
"passed","Fri Nov 01 21:38:47 UTC 2024","Fri Nov 01 21:38:47 UTC 2024","297","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_slider_moving_right[32-26]","Slider Moving Right for Length"
"passed","Fri Nov 01 21:39:06 UTC 2024","Fri Nov 01 21:39:06 UTC 2024","314","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_arrow_down[10-22]","Arrow Down for Setting Password Length"
"passed","Fri Nov 01 21:38:58 UTC 2024","Fri Nov 01 21:38:58 UTC 2024","167","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_arrow_up[18-12]","Arrow Up for Setting Password Length"
"passed","Fri Nov 01 21:38:59 UTC 2024","Fri Nov 01 21:38:59 UTC 2024","224","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_arrow_up[24-18]","Arrow Up for Setting Password Length"
"passed","Fri Nov 01 21:38:23 UTC 2024","Fri Nov 01 21:38:23 UTC 2024","487","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_checkboxes_generated_password_combinations[False-False-False-True]","Checkbox Combinations for Password Content"
"passed","Fri Nov 01 21:38:34 UTC 2024","Fri Nov 01 21:38:35 UTC 2024","293","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_checkboxes_generated_password_combinations[True-True-True-False]","Checkbox Combinations for Password Content"
"passed","Fri Nov 01 21:38:15 UTC 2024","Fri Nov 01 21:38:15 UTC 2024","82","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_input_and_generated_password_length[32]","Password Length Input and Generated Password Length"
"passed","Fri Nov 01 21:38:29 UTC 2024","Fri Nov 01 21:38:29 UTC 2024","459","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_checkboxes_generated_password_combinations[False-True-True-False]","Checkbox Combinations for Password Content"
"passed","Fri Nov 01 21:38:33 UTC 2024","Fri Nov 01 21:38:33 UTC 2024","317","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_checkboxes_generated_password_combinations[False-False-True-True]","Checkbox Combinations for Password Content"
"passed","Fri Nov 01 21:39:10 UTC 2024","Fri Nov 01 21:39:11 UTC 2024","1122","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_copy_password_main_button_copies_password_to_clipboard","Copy Password Button Test"
"passed","Fri Nov 01 21:38:50 UTC 2024","Fri Nov 01 21:38:50 UTC 2024","240","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_slider_moving_left[23-9]","Slider Moving Left for Length"
"passed","Fri Nov 01 21:38:53 UTC 2024","Fri Nov 01 21:38:54 UTC 2024","418","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_length_slider_moving_left[6-26]","Slider Moving Left for Length"
"passed","Fri Nov 01 21:38:24 UTC 2024","Fri Nov 01 21:38:25 UTC 2024","394","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_checkboxes_generated_password_combinations[True-True-False-False]","Checkbox Combinations for Password Content"
"passed","Fri Nov 01 21:38:39 UTC 2024","Fri Nov 01 21:38:39 UTC 2024","282","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_checkboxes_generated_password_combinations[False-True-True-True]","Checkbox Combinations for Password Content"
"passed","Fri Nov 01 21:38:09 UTC 2024","Fri Nov 01 21:38:09 UTC 2024","70","test-suite.functional_tests","test_password_generator_happy_paths","","","","test_password_generator_smoke_test","Smoke Test"
